,index,address,lat_lon
0,0,44 BENDEMEER RD,"['1.32226013692281', '103.86662310263']"
1,1,20 ST. GEORGE'S RD,"['1.3247396755322', '103.862860231376']"
2,2,14 KG ARANG RD,"['1.30016459105', '103.884228450233']"
3,3,46 OWEN RD,"['1.31514019805556', '103.850798372212']"
4,4,49 DORSET RD,"['1.3129579815118', '103.850158739219']"
5,5,95 GEYLANG BAHRU,"['1.32300949333249', '103.871104763913']"
6,6,94 GEYLANG BAHRU,"['1.32265301195608', '103.87130995354']"
7,7,16 UPP BOON KENG RD,"['1.31543175817283', '103.871651573593']"
8,8,68 GEYLANG BAHRU,"['1.32195385488883', '103.869843391813']"
9,9,65 KALLANG BAHRU,"['1.31969547154613', '103.868364964604']"
10,10,98 WHAMPOA DR,"['1.32158068709129', '103.854150953187']"
11,11,11 UPP BOON KENG RD,"['1.31423937033551', '103.870914031459']"
12,12,82 WHAMPOA DR,"['1.32387379240679', '103.856482753763']"
13,13,28 JLN BAHAGIA,"['1.32577955574857', '103.858806901306']"
14,14,38 JLN BAHAGIA,"['1.32690591898182', '103.856486649121']"
15,15,69 MOULMEIN RD,"['1.31895176233165', '103.850517972593']"
16,16,56 GEYLANG BAHRU,"['1.32364514773996', '103.868295292623']"
17,17,461 CRAWFORD LANE,"['1.30510417415071', '103.860869351858']"
18,18,39 UPP BOON KENG RD,"['1.3187235805299', '103.874226522075']"
19,19,104 JLN RAJAH,"['1.32780496961457', '103.853262284564']"
20,20,807 KING GEORGE'S AVE,"['1.30928836905115', '103.861442474883']"
21,21,103 AH HOOD RD,"['1.32796267483785', '103.844826964123']"
22,22,85 WHAMPOA DR,"['1.32278920327274', '103.856444472629']"
23,23,23 ST. GEORGE'S RD,"['1.32499291341079', '103.863049863163']"
24,24,101 JLN RAJAH,"['1.32880086167984', '103.850782023537']"
25,25,103 JLN RAJAH,"['1.32734143333539', '103.852780650365']"
26,26,107 TOWNER RD,"['1.31933733566872', '103.860225974926']"
27,27,101 WHAMPOA DR,"['1.32041710187602', '103.853813946402']"
28,28,83 WHAMPOA DR,"['1.32357483276513', '103.857034858444']"
29,29,84 WHAMPOA DR,"['1.32319022987198', '103.857027960797']"
30,30,52 KENT RD,"['1.28059687612758', '103.790460040807']"
31,31,54 GEYLANG BAHRU,"['1.32388371941336', '103.867864793507']"
32,32,75 WHAMPOA DR,"['1.32441875533381', '103.858185074994']"
33,33,559 JURONG WEST ST 42,"['1.35457631683511', '103.718900605151']"
34,34,547 JURONG WEST ST 42,"['1.35298202689802', '103.714914008213']"
35,35,539 JURONG WEST AVE 1,"['1.35087571532422', '103.716353293406']"
36,36,452 JURONG WEST ST 42,"['1.35158269235001', '103.718516174409']"
37,37,444 JURONG WEST AVE 1,"['1.35195380808937', '103.719396655601']"
38,38,436 JURONG WEST AVE 1,"['1.35208689545167', '103.722864957524']"
39,39,416 JURONG WEST ST 42,"['1.35242591430816', '103.725924618185']"
40,40,415 JURONG WEST ST 42,"['1.35282431865817', '103.724982266808']"
41,41,458 JURONG WEST ST 41,"['1.35021069322065', '103.720031948834']"
42,42,463 JURONG WEST ST 41,"['1.35057187534259', '103.723239272388']"
43,43,527 JURONG WEST ST 52,"['1.34788416536561', '103.716417393401']"
44,44,551 JURONG WEST ST 42,"['1.35237770099493', '103.716921171248']"
45,45,550 JURONG WEST ST 42,"['1.35280491257393', '103.716740537175']"
46,46,545 JURONG WEST ST 42,"['1.35229053905004', '103.715246438458']"
47,47,543 JURONG WEST ST 42,"['1.35186325238554', '103.715798646003']"
48,48,431 JURONG WEST AVE 1,"['1.35230306526458', '103.72463219774']"
49,49,485 JURONG WEST AVE 1,"['1.3483471084985', '103.727243025871']"
50,50,402 JURONG WEST ST 42,"['1.35339365971468', '103.722445654654']"
51,51,198 BOON LAY DR,"['1.3444211304079', '103.714343745983']"
52,52,203 BOON LAY DR,"['1.34413570974204', '103.715657464606']"
53,53,205 BOON LAY DR,"['1.34485415589358', '103.71571623191']"
54,54,407 JURONG WEST ST 42,"['1.35489444765725', '103.721256064307']"
55,55,77 LOR LIMAU,"['1.32507311145543', '103.854803547284']"
56,56,45 BENDEMEER RD,"['1.3223875270991', '103.866126107239']"
57,57,34 WHAMPOA WEST,"['1.32050169556608', '103.863341271367']"
58,58,28 BENDEMEER RD,"['1.31869832503738', '103.863232193576']"
59,59,26 BENDEMEER RD,"['1.3183075369852', '103.86292186863']"
60,60,24 BENDEMEER RD,"['1.31862347782977', '103.862324355167']"
61,61,12 UPP BOON KENG RD,"['1.31423066306718', '103.870061147604']"
62,62,2 BEACH RD,"['1.30403300585898', '103.864928408355']"
63,63,1 BEACH RD,"['1.3036713506088', '103.864478660925']"
64,64,801 FRENCH RD,"['1.30736241836646', '103.860472435164']"
65,65,468 NTH BRIDGE RD,"['1.30539150676389', '103.863222183958']"
66,66,2 ST. GEORGE'S RD,"['1.32241677129053', '103.863267718898']"
67,67,9 JLN BATU,"['1.30283219012693', '103.882979059119']"
68,68,469 JURONG WEST ST 41,"['1.34849441236314', '103.721245210516']"
69,69,558 JURONG WEST ST 42,"['1.35419821230377', '103.717344057356']"
70,70,97 WHAMPOA DR,"['1.32128020862279', '103.854938084831']"
71,71,455 JURONG WEST ST 42,"['1.35106549757433', '103.718527806379']"
72,72,53 GEYLANG BAHRU,"['1.32432231336421', '103.868159565036']"
73,73,12 NTH BRIDGE RD,"['1.30431042727382', '103.862781478293']"
74,74,21 GHIM MOH RD,"['1.31010302594118', '103.788545950724']"
75,75,21 DOVER CRES,"['1.30703602610859', '103.784633269754']"
76,76,1 GHIM MOH RD,"['1.31287975684307', '103.786855017635']"
77,77,2 GHIM MOH RD,"['1.31237872986354', '103.786971451599']"
78,78,3 GHIM MOH RD,"['1.31199891286265', '103.787189701148']"
79,79,4 GHIM MOH RD,"['1.31319369617182', '103.788192237043']"
